Date,Open,High,Low,Close,Adj Close,Volume
2014-03-26,275.799988,278.575012,272.049988,272.674988,243.453873,250230
2014-03-27,273.000000,277.500000,270.000000,275.774994,246.221664,294668
2014-03-28,276.049988,279.399994,275.100006,275.750000,246.199280,143924
2014-03-31,277.000000,277.000000,269.274994,271.299988,242.226166,343488
2014-04-01,274.000000,281.049988,273.500000,280.250000,250.217056,942072
2014-04-02,281.850006,286.200012,279.825012,282.600006,252.315277,451654
2014-04-03,283.000000,284.000000,278.750000,280.250000,250.217056,198706
2014-04-04,281.049988,284.250000,275.549988,276.625000,246.980576,166186
2014-04-07,275.375000,280.200012,275.000000,278.200012,248.386795,158650
2014-04-09,278.200012,281.000000,274.850006,276.825012,247.159119,154418
2014-04-10,277.000000,281.950012,275.399994,280.225006,250.194778,291340
2014-04-11,279.024994,285.225006,275.850006,283.975006,253.542892,292938
2014-04-15,283.975006,295.524994,282.500000,294.500000,262.939972,469828
2014-04-16,297.500000,297.500000,284.500000,285.950012,255.306259,531746
2014-04-17,287.549988,294.500000,287.024994,292.774994,261.399841,397598
2014-04-21,292.774994,292.774994,272.000000,273.299988,244.011887,1481884
2014-04-22,274.000000,274.774994,263.424988,265.649994,237.181686,904888
2014-04-23,267.424988,269.000000,261.750000,262.500000,234.369263,860478
2014-04-24,262.500000,262.500000,262.500000,262.500000,234.369263,0
2014-04-25,265.000000,265.000000,258.500000,259.875000,232.025558,680488
2014-04-28,260.500000,265.500000,259.075012,264.524994,236.177246,613038
2014-04-29,266.000000,268.149994,261.850006,262.450012,234.324615,493142
2014-04-30,264.500000,264.899994,259.125000,261.000000,233.030014,480248
2014-05-02,261.000000,265.350006,259.399994,263.799988,235.529922,382510
2014-05-05,263.000000,264.725006,259.500000,260.399994,232.494308,407234
2014-05-06,259.524994,262.500000,256.899994,257.299988,229.726486,291286
2014-05-07,255.899994,257.399994,250.274994,252.750000,225.664093,543228
2014-05-08,253.500000,257.725006,251.175003,255.375000,228.007843,330856
2014-05-09,256.000000,258.700012,255.000000,256.149994,228.699768,205834
2014-05-12,257.350006,258.000000,251.050003,255.800003,228.387283,430954
2014-05-13,257.500000,265.225006,256.350006,264.399994,236.065628,428526
2014-05-14,265.000000,265.975006,261.274994,262.100006,234.012115,216896
2014-05-15,263.700012,264.000000,256.524994,258.174988,230.507736,340620
2014-05-16,259.899994,265.000000,249.024994,251.425003,224.481094,698394
2014-05-19,252.000000,252.500000,237.675003,240.750000,214.950104,895770
2014-05-20,243.000000,248.500000,242.050003,247.024994,220.552643,608574
2014-05-21,248.000000,249.250000,243.125000,246.024994,219.659790,404898
2014-05-22,246.500000,248.000000,241.050003,241.750000,215.842941,271168
2014-05-23,242.050003,246.750000,240.475006,244.500000,218.298218,437094
2014-05-26,247.050003,254.250000,245.475006,252.274994,225.240021,637290
2014-05-27,254.500000,259.024994,251.649994,253.399994,226.244461,609638
2014-05-28,254.524994,257.725006,252.024994,256.850006,229.324753,215690
2014-05-29,256.500000,256.950012,247.675003,250.100006,223.298126,299984
2014-05-30,251.000000,253.750000,245.574997,252.500000,225.440887,293464
2014-06-02,253.074997,253.500000,249.000000,249.550003,222.807022,269458
2014-06-03,251.500000,252.000000,246.149994,247.175003,220.686539,764340
2014-06-04,249.899994,249.899994,242.800003,245.850006,219.503555,744578
2014-06-05,247.500000,251.225006,245.399994,250.475006,223.632935,571390
